months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported
99,29,IN,250/500,1000,664.19,5000000,MALE,PhD,machine-op-inspct,exercise,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbrook,1,3,YES,1,0,NO,117589.51,33467.83,11835.19,72286.49,Accura,2014,Y
359,19,IL,100/300,2000,718.69,0,FEMALE,Associate,exec-managerial,golf,own-child,0,0,Vehicle Theft,Front Collision,Total Loss,Ambulance,NY,Hillsdale,2,2,?,1,1,NO,93170.24,15903.4,20270.02,56996.82,Suburu,2008,N
151,54,IN,500/1000,500,2187.68,0,FEMALE,MD,other-service,base-jumping,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,OH,Northbrook,7,4,YES,1,3,YES,53421.87,13075.64,12531.38,27814.85,Accura,1997,N
130,24,OH,100/300,500,719.19,0,FEMALE,Associate,tech-support,camping,not-in-family,0,0,Parked Car,Front Collision,Total Loss,Police,SC,Columbus,1,2,?,2,1,NO,9748.32,2292.05,1656.17,5800.1,Accura,1996,Y
149,43,OH,250/500,2000,578.75,0,MALE,PhD,priv-house-serv,exercise,not-in-family,0,-36234,Single Vehicle Collision,Front Collision,Minor Damage,Other,PA,Northbrook,6,2,YES,0,0,YES,81229.43,8256.23,17074.68,55898.52,Suburu,2008,N
308,43,OH,100/300,2000,1195.86,0,MALE,JD,machine-op-inspct,exercise,not-in-family,25665,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Northbrook,1,1,?,1,0,YES,49916.08,7039.5,11676.93,31199.65,Dodge,1996,Y
257,41,IL,250/500,500,1433.41,0,FEMALE,PhD,machine-op-inspct,base-jumping,other-relative,0,-87667,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Columbus,18,3,?,0,2,YES,75994.85,8083.45,9199.78,58711.62,BMW,2021,Y
343,29,IL,100/300,500,1638.89,0,FEMALE,JD,tech-support,golf,unmarried,51330,-10352,Multi-vehicle Collision,Front Collision,Minor Damage,Other,WV,Springfield,7,1,NO,0,3,NO,44971.78,8424.26,9506.59,27040.93,Honda,2022,N
491,33,IL,500/1000,500,1514.6,1000000,FEMALE,MD,transport-moving,cross-fit,not-in-family,5120,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Arlington,8,4,?,2,3,NO,106093.11,24654.91,25573.12,55865.08,Toyota,2000,Y
413,40,IL,250/500,1000,2326.37,1000000,FEMALE,MD,armed-forces,golf,unmarried,0,0,Vehicle Theft,?,Total Loss,Police,NC,Arlington,11,4,NO,1,1,YES,52370.83,14541.84,9727.63,28101.36,Toyota,2015,N
293,57,OH,100/300,2000,2037.34,5000000,FEMALE,High School,exec-managerial,reading,unmarried,41743,0,Parked Car,Front Collision,Trivial Damage,Police,VA,Northbend,11,2,NO,1,1,?,108729.7,17597.24,14834.47,76297.99,Mercedes,2001,N
385,26,OH,250/500,500,2467.62,0,FEMALE,Masters,prof-specialty,movies,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Trivial Damage,Police,OH,Northbrook,23,3,?,1,2,YES,47078.87,10530.04,11021.84,25526.99,Audi,2016,Y
191,49,OH,500/1000,2000,1452.91,2000000,MALE,JD,transport-moving,golf,husband,0,-13755,Multi-vehicle Collision,?,Trivial Damage,Other,NC,Riverview,10,4,?,1,2,?,84092.53,20533.27,16244.3,47314.96,Accura,2010,Y
443,32,IL,250/500,1000,668.66,0,FEMALE,JD,other-service,sleeping,not-in-family,0,-75299,Parked Car,Rear Collision,Total Loss,Other,SC,Columbus,16,2,NO,1,1,YES,13732.0,3055.62,2063.18,8613.2,Dodge,2004,N
276,54,IL,500/1000,1000,2411.06,0,MALE,Associate,priv-house-serv,golf,other-relative,92471,0,Vehicle Theft,Rear Collision,Minor Damage,Fire,PA,Northbend,1,1,YES,0,3,?,69295.06,16999.74,16150.31,36145.01,Chevrolet,2019,N
160,30,OH,250/500,500,508.23,2000000,FEMALE,High School,craft-repair,reading,own-child,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NC,Northbend,11,3,?,2,0,NO,37855.34,9772.3,9022.53,19060.51,Volkswagen,2015,Y
459,22,OH,500/1000,2000,2052.19,3000000,MALE,JD,prof-specialty,chess,other-relative,0,0,Parked Car,Rear Collision,Major Damage,Other,OH,Springfield,3,1,NO,1,0,YES,82814.54,13825.71,13242.04,55746.79,Jeep,2004,N
313,28,IL,250/500,1000,562.56,0,FEMALE,Associate,other-service,golf,unmarried,0,0,Single Vehicle Collision,?,Minor Damage,None,OH,Arlington,17,4,?,2,2,YES,96128.21,20250.37,20470.49,55407.35,Audi,2013,N
21,27,IN,500/1000,2000,2022.43,0,MALE,PhD,transport-moving,reading,other-relative,0,0,Vehicle Theft,Rear Collision,Major Damage,Fire,OH,Columbus,15,3,?,1,2,?,107264.41,18246.22,29275.13,59743.06,Honda,2011,N
252,69,OH,100/300,2000,2375.88,0,MALE,MD,other-service,chest,own-child,0,-18814,Single Vehicle Collision,Front Collision,Trivial Damage,Fire,PA,Northbend,13,2,NO,0,0,YES,92504.46,23887.73,26710.2,41906.53,Audi,2016,Y
235,30,OH,100/300,500,1278.52,0,MALE,Associate,prof-specialty,base-jumping,not-in-family,69060,0,Single Vehicle Collision,?,Major Damage,Ambulance,WV,Riverview,2,4,YES,0,1,?,26094.34,6263.31,5612.71,14218.32,Saab,2007,N
344,58,OH,250/500,1000,981.93,1000000,MALE,Masters,priv-house-serv,paintball,not-in-family,0,-47862,Multi-vehicle Collision,Rear Collision,Trivial Damage,Fire,NY,Springfield,6,1,?,1,2,?,59865.47,8503.37,8873.51,42488.59,Nissan,2010,Y
48,70,IL,500/1000,1000,952.56,0,MALE,PhD,exec-managerial,chess,not-in-family,0,0,Parked Car,?,Major Damage,Ambulance,VA,Hillsdale,9,1,YES,0,2,YES,27821.69,4020.5,7341.17,16460.02,Honda,2002,N
474,63,OH,100/300,1000,1483.44,0,MALE,College,craft-repair,paintball,other-relative,88443,-58887,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Northbrook,19,3,YES,0,2,YES,933.42,182.57,102.79,648.06,Mercedes,2010,N
58,67,OH,250/500,2000,841.77,0,FEMALE,PhD,priv-house-serv,base-jumping,not-in-family,85049,0,Single Vehicle Collision,?,Major Damage,None,VA,Northbrook,15,4,YES,0,3,NO,108078.46,14410.06,17572.97,76095.43,Suburu,2000,Y
169,32,OH,100/300,1000,1845.85,0,MALE,High School,transport-moving,movies,not-in-family,69068,0,Multi-vehicle Collision,Side Collision,Trivial Damage,Other,WV,Northbrook,5,2,NO,1,0,NO,108277.94,14484.67,18525.31,75267.96,Saab,2015,N
475,59,OH,500/1000,1000,1236.7,3000000,FEMALE,Masters,tech-support,golf,not-in-family,0,0,Parked Car,Front Collision,Trivial Damage,Fire,NC,Springfield,18,3,?,1,0,NO,85495.67,13865.24,9556.66,62073.77,Volkswagen,2006,Y
187,73,OH,250/500,2000,1146.22,0,MALE,PhD,priv-house-serv,base-jumping,unmarried,0,-70467,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,Northbrook,10,2,?,0,2,?,78092.34,15252.8,20003.69,42835.85,BMW,2014,N
463,24,IN,500/1000,1000,1422.57,0,FEMALE,Masters,sales,golf,unmarried,30893,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Springfield,17,1,?,2,1,NO,50398.95,7724.99,10804.62,31869.34,Saab,2000,Y
270,57,IN,500/1000,1000,1585.18,2000000,FEMALE,MD,exec-managerial,chess,own-child,0,0,Single Vehicle Collision,?,Minor Damage,Other,PA,Columbus,21,1,?,1,1,?,80816.38,21862.06,15202.65,43751.67,Toyota,1999,N
189,45,OH,500/1000,2000,783.86,0,FEMALE,College,sales,camping,wife,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Columbus,20,2,YES,2,0,NO,83782.64,11483.92,9805.23,62493.49,Dodge,2009,N
445,49,OH,100/300,1000,1915.53,1000000,FEMALE,JD,craft-repair,golf,other-relative,0,0,Single Vehicle Collision,Rear Collision,Total Loss,None,PA,Northbrook,22,1,YES,0,1,?,109385.74,17860.28,29779.48,61745.98,Chevrolet,2007,N
174,52,OH,250/500,500,2265.89,1000000,MALE,Masters,craft-repair,golf,unmarried,43289,0,Single Vehicle Collision,Front Collision,Trivial Damage,Police,WV,Columbus,20,2,?,2,3,?,112463.8,19431.59,33624.74,59407.47,Chevrolet,1997,Y
445,32,OH,500/1000,2000,1055.97,0,MALE,High School,transport-moving,base-jumping,not-in-family,0,-29174,Single Vehicle Collision,Side Collision,Major Damage,Police,NC,Arlington,7,4,?,2,0,NO,59500.54,15982.78,10596.1,32921.66,BMW,2017,Y
50,65,IL,100/300,1000,860.78,0,MALE,High School,craft-repair,sleeping,other-relative,10218,0,Single Vehicle Collision,Front Collision,Major Damage,None,SC,Riverview,12,3,?,1,1,NO,46138.33,8853.55,11789.5,25495.28,Jeep,1998,Y
363,53,IL,500/1000,500,2021.01,0,MALE,Associate,craft-repair,golf,own-child,0,0,Single Vehicle Collision,?,Trivial Damage,Ambulance,SC,Columbus,10,3,NO,0,3,?,78582.75,15170.95,16348.52,47063.28,Accura,2011,Y
54,38,IL,100/300,2000,867.08,0,MALE,College,exec-managerial,exercise,husband,0,-6640,Vehicle Theft,Front Collision,Total Loss,Other,OH,Northbend,17,2,?,0,2,NO,96652.32,22558.13,17234.04,56860.15,Suburu,2005,Y
243,23,IN,250/500,1000,582.51,0,FEMALE,MD,prof-specialty,camping,husband,0,0,Parked Car,Front Collision,Minor Damage,None,SC,Riverview,9,1,YES,2,0,?,99175.63,16174.42,18809.36,64191.85,Toyota,2002,N
319,18,OH,250/500,2000,1738.49,0,FEMALE,MD,priv-house-serv,paintball,not-in-family,82529,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,WV,Columbus,0,1,YES,2,2,NO,10132.24,1926.29,2493.2,5712.75,Nissan,1999,N
130,21,IL,250/500,500,979.5,0,MALE,Masters,transport-moving,golf,not-in-family,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Ambulance,SC,Arlington,16,4,NO,2,2,YES,102834.9,28173.22,23374.78,51286.9,Mercedes,1996,N
484,28,OH,250/500,2000,843.62,0,FEMALE,High School,transport-moving,cross-fit,unmarried,0,0,Parked Car,Side Collision,Total Loss,Other,WV,Riverview,22,1,?,0,1,YES,1778.08,506.43,488.0,783.65,BMW,2006,N
306,61,OH,500/1000,1000,2463.21,0,FEMALE,High School,tech-support,chess,own-child,55704,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,19,4,NO,1,2,YES,69834.28,8837.75,16596.06,44400.47,Chevrolet,2017,N
134,43,IN,100/300,500,1083.73,0,MALE,High School,sales,cross-fit,own-child,0,0,Multi-vehicle Collision,?,Trivial Damage,Other,PA,Hillsdale,22,3,NO,1,1,YES,94945.06,23138.93,14804.74,57001.39,Chevrolet,1997,N
20,54,IN,250/500,2000,2306.89,0,MALE,JD,craft-repair,paintball,other-relative,93611,0,Single Vehicle Collision,Rear Collision,Trivial Damage,Ambulance,PA,Hillsdale,9,1,NO,2,0,NO,5863.76,976.32,1096.29,3791.15,Jeep,1995,N
328,40,IL,500/1000,1000,856.44,0,MALE,MD,priv-house-serv,reading,unmarried,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Arlington,9,4,YES,1,3,YES,57195.38,6700.25,15492.78,35002.35,Ford,2022,N
166,46,IL,250/500,1000,2137.95,0,MALE,High School,other-service,exercise,husband,42980,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,NY,Northbend,8,3,YES,2,1,?,3550.09,769.48,528.86,2251.75,Toyota,1996,N
273,38,IN,250/500,500,1504.04,0,MALE,Associate,tech-support,exercise,own-child,66532,0,Parked Car,Rear Collision,Trivial Damage,Fire,WV,Riverview,12,1,?,1,2,NO,56262.27,15460.73,14458.39,26343.15,Ford,2006,Y
387,65,IN,250/500,500,657.19,0,MALE,PhD,tech-support,camping,not-in-family,0,0,Parked Car,?,Trivial Damage,Other,VA,Northbrook,13,3,YES,2,1,NO,3376.13,816.24,912.77,1647.12,Ford,2004,N
88,62,OH,100/300,2000,1967.21,3000000,FEMALE,High School,sales,exercise,own-child,73426,-29559,Single Vehicle Collision,Side Collision,Trivial Damage,Other,VA,Hillsdale,10,4,YES,2,1,?,105337.1,22722.91,27000.59,55613.6,Volkswagen,2020,Y
315,62,OH,100/300,1000,2284.15,0,MALE,Associate,prof-specialty,camping,husband,0,-31279,Multi-vehicle Collision,?,Total Loss,Police,NC,Northbend,10,3,?,0,2,?,10943.56,2774.52,1403.0,6766.04,Honda,2021,N
13,66,IL,100/300,500,826.03,0,MALE,Associate,tech-support,reading,other-relative,59911,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,OH,Springfield,3,1,?,0,1,YES,86828.39,12604.99,17374.86,56848.54,Suburu,2003,Y
241,44,IL,250/500,1000,1951.18,0,FEMALE,PhD,craft-repair,exercise,other-relative,0,0,Single Vehicle Collision,?,Trivial Damage,Fire,PA,Hillsdale,9,2,?,0,0,YES,44906.15,5914.62,12943.54,26047.99,Ford,2019,Y
264,56,IN,500/1000,2000,1390.11,0,MALE,MD,tech-support,camping,other-relative,0,0,Single Vehicle Collision,?,Total Loss,Fire,WV,Riverview,14,1,NO,2,2,?,35666.63,6172.84,4585.78,24908.01,Accura,2022,N
345,57,IL,500/1000,500,2007.74,0,MALE,High School,machine-op-inspct,camping,other-relative,47390,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverview,6,3,NO,0,2,NO,17402.6,4670.6,5052.48,7679.52,Ford,2001,N
52,30,OH,500/1000,2000,1927.86,0,FEMALE,College,transport-moving,exercise,unmarried,0,0,Vehicle Theft,Front Collision,Major Damage,None,NC,Riverview,3,2,?,2,2,YES,33759.61,6929.44,7731.77,19098.4,Toyota,2006,N
385,40,IN,250/500,2000,553.2,0,MALE,Associate,transport-moving,base-jumping,other-relative,0,0,Parked Car,Front Collision,Total Loss,None,NC,Columbus,22,2,?,2,2,YES,51495.9,7255.36,12565.75,31674.79,Jeep,2007,Y
339,33,OH,100/300,500,857.44,0,MALE,Associate,prof-specialty,camping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbrook,5,4,YES,0,0,YES,92099.42,22748.2,14435.03,54916.19,Dodge,2008,N
91,47,IN,500/1000,2000,1442.05,0,MALE,JD,sales,movies,unmarried,0,0,Single Vehicle Collision,?,Minor Damage,None,NY,Springfield,2,1,?,0,3,YES,66126.63,14042.19,10869.83,41214.61,Ford,2001,N
366,21,IN,250/500,1000,2367.19,0,FEMALE,PhD,other-service,golf,own-child,57485,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,NY,Columbus,5,1,?,1,2,NO,41141.24,5285.23,4767.18,31088.83,Volkswagen,2018,N
443,57,OH,250/500,500,1184.15,2000000,MALE,College,tech-support,sleeping,wife,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,WV,Northbrook,1,3,YES,2,1,?,63995.19,8543.99,14477.74,40973.46,BMW,1999,N
454,33,IL,500/1000,1000,1757.75,0,FEMALE,Associate,armed-forces,chest,other-relative,30219,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,OH,Hillsdale,10,2,YES,2,3,NO,41089.68,7940.66,5771.26,27377.76,Accura,2004,N
427,48,IL,500/1000,2000,524.17,0,MALE,High School,exec-managerial,chess,wife,0,0,Parked Car,Side Collision,Total Loss,Fire,NC,Northbrook,5,2,YES,1,3,YES,33096.05,4974.6,6544.19,21577.26,Honda,2020,N
263,70,IL,250/500,500,1922.25,2000000,FEMALE,MD,tech-support,paintball,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,OH,Hillsdale,10,2,YES,1,2,YES,79089.75,20612.89,17125.15,41351.71,Volkswagen,2010,N
430,59,IL,500/1000,1000,1706.14,0,FEMALE,Associate,prof-specialty,golf,husband,0,0,Single Vehicle Collision,Front Collision,Minor Damage,None,WV,Columbus,7,1,?,2,2,YES,106635.42,27760.54,17424.22,61450.66,Nissan,2005,Y
34,42,OH,250/500,1000,1930.79,0,MALE,MD,other-service,paintball,wife,22904,0,Single Vehicle Collision,Rear Collision,Trivial Damage,Fire,NY,Riverview,7,1,NO,1,1,?,44904.46,7810.76,5550.29,31543.41,Audi,2002,Y
205,61,IN,500/1000,1000,2309.32,0,MALE,Associate,sales,chess,husband,86604,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,OH,Hillsdale,7,1,YES,2,1,?,73319.34,20351.96,21366.0,31601.38,Chevrolet,2020,N
80,29,OH,100/300,1000,793.0,0,FEMALE,Associate,other-service,cross-fit,wife,0,0,Multi-vehicle Collision,?,Major Damage,Other,PA,Arlington,4,4,NO,1,3,YES,92674.17,24702.51,20550.07,47421.59,Nissan,1996,N
419,43,IL,250/500,1000,1023.18,0,FEMALE,High School,armed-forces,chess,other-relative,9001,0,Single Vehicle Collision,Side Collision,Trivial Damage,Other,NY,Northbrook,7,1,YES,0,2,YES,27777.75,7789.6,3058.09,16930.06,Honda,2001,N
49,54,IL,100/300,2000,2491.56,0,FEMALE,MD,tech-support,paintball,not-in-family,0,0,Vehicle Theft,Front Collision,Trivial Damage,Ambulance,VA,Hillsdale,4,2,YES,1,0,YES,81721.11,16686.5,8634.6,56400.01,Jeep,1997,Y
359,65,OH,500/1000,2000,812.57,0,MALE,College,exec-managerial,movies,wife,0,0,Single Vehicle Collision,?,Minor Damage,Other,NY,Springfield,3,1,YES,0,3,?,59182.4,15249.73,14150.18,29782.49,Chevrolet,2009,N
387,50,IN,250/500,2000,1941.25,0,MALE,Masters,craft-repair,chess,own-child,0,-30956,Single Vehicle Collision,Front Collision,Major Damage,Other,OH,Hillsdale,9,2,?,1,3,?,36042.89,7783.55,9013.43,19245.91,Dodge,2007,N
1,45,OH,500/1000,2000,1950.15,0,FEMALE,High School,priv-house-serv,camping,not-in-family,5679,-83600,Multi-vehicle Collision,?,Trivial Damage,Fire,OH,Northbend,23,4,?,1,0,YES,61199.24,13608.17,16180.91,31410.16,Dodge,2008,Y
389,26,OH,250/500,2000,1865.99,0,FEMALE,MD,sales,paintball,wife,9232,0,Multi-vehicle Collision,?,Total Loss,Ambulance,NY,Riverview,7,4,YES,0,1,?,43619.99,7227.8,5986.73,30405.46,Dodge,1996,N
53,29,OH,500/1000,2000,954.88,0,MALE,MD,priv-house-serv,base-jumping,husband,77460,0,Multi-vehicle Collision,?,Total Loss,Police,VA,Arlington,16,4,NO,2,3,NO,10947.9,2243.25,2011.98,6692.67,Suburu,2000,Y
105,22,IN,100/300,2000,930.27,0,FEMALE,MD,priv-house-serv,camping,own-child,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Columbus,20,4,YES,2,3,?,34187.33,9670.8,5505.27,19011.26,BMW,2008,N
259,71,OH,100/300,1000,1832.68,1000000,MALE,JD,tech-support,chest,not-in-family,0,0,Parked Car,?,Trivial Damage,Fire,SC,Northbrook,18,4,?,1,3,?,27084.37,5416.24,5055.33,16612.8,Dodge,2022,N
309,69,OH,500/1000,2000,872.5,0,FEMALE,Masters,sales,reading,wife,97113,-20704,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,PA,Riverview,19,4,YES,0,3,NO,94588.46,9526.03,10780.91,74281.52,Saab,1995,N
476,71,IL,100/300,1000,1823.13,0,MALE,High School,sales,chest,husband,0,-71592,Vehicle Theft,?,Major Damage,Police,WV,Springfield,17,3,YES,2,3,?,67619.99,14418.08,14481.62,38720.29,Honda,2019,N
190,45,OH,100/300,500,1485.06,0,FEMALE,JD,other-service,chess,not-in-family,33275,0,Vehicle Theft,?,Major Damage,Police,NY,Arlington,0,4,YES,0,3,YES,24082.58,4431.89,4016.83,15633.86,Saab,2017,N
401,73,IL,500/1000,2000,1273.26,0,MALE,Masters,exec-managerial,base-jumping,husband,0,0,Multi-vehicle Collision,?,Trivial Damage,Fire,PA,Hillsdale,16,1,YES,0,3,?,69157.03,19549.58,16322.6,33284.85,Chevrolet,1997,N
217,52,IL,250/500,1000,1100.46,0,MALE,Associate,armed-forces,chess,other-relative,0,-34169,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Columbus,7,4,NO,0,3,NO,82795.45,12931.34,11662.5,58201.61,Jeep,2016,N
43,22,IL,500/1000,500,2395.15,0,FEMALE,PhD,exec-managerial,chess,husband,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NC,Northbend,12,3,NO,0,2,?,75590.11,13991.1,16145.89,45453.12,Audi,2002,N
161,51,IN,250/500,500,1516.19,0,FEMALE,Masters,priv-house-serv,golf,not-in-family,0,0,Parked Car,Side Collision,Minor Damage,Ambulance,NC,Springfield,3,4,NO,0,1,?,99878.23,24943.17,20732.44,54202.62,Mercedes,2012,N
201,63,IL,100/300,1000,1622.5,0,FEMALE,Associate,prof-specialty,sleeping,own-child,23904,0,Parked Car,Rear Collision,Trivial Damage,Police,WV,Arlington,7,1,?,2,1,YES,91004.22,26363.14,19925.13,44715.95,Accura,2020,Y
445,51,OH,100/300,1000,2398.51,0,MALE,Masters,tech-support,reading,unmarried,0,-63383,Multi-vehicle Collision,Front Collision,Major Damage,None,OH,Northbend,12,1,NO,1,2,?,90649.04,14398.39,14812.58,61438.07,Mercedes,2021,Y
483,30,OH,100/300,1000,1807.75,0,FEMALE,MD,exec-managerial,reading,husband,0,0,Parked Car,?,Major Damage,Ambulance,SC,Arlington,3,2,?,0,2,NO,10122.01,1800.05,2789.65,5532.31,Suburu,2021,Y
269,56,IL,100/300,2000,2415.71,5000000,MALE,PhD,armed-forces,chest,own-child,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NC,Riverview,7,1,NO,0,1,NO,73094.56,20324.11,10804.79,41965.66,Nissan,2022,N
350,59,IL,100/300,500,712.73,0,MALE,PhD,other-service,chess,not-in-family,0,0,Multi-vehicle Collision,?,Trivial Damage,Police,NC,Riverview,16,1,NO,1,3,NO,77192.88,20521.7,9752.56,46918.62,Accura,2007,N
303,62,OH,250/500,2000,2193.28,0,MALE,College,craft-repair,sleeping,unmarried,75291,-95094,Parked Car,Side Collision,Major Damage,Fire,NY,Northbrook,19,1,?,2,0,NO,95775.8,10062.9,16070.21,69642.69,Toyota,2005,Y
270,65,IL,250/500,2000,1170.83,1000000,MALE,Associate,armed-forces,chest,wife,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverview,20,1,?,0,0,?,114755.79,20923.43,33892.44,59939.92,Volkswagen,2017,Y
455,31,IN,250/500,2000,2120.98,0,MALE,JD,priv-house-serv,chess,husband,13917,-25553,Multi-vehicle Collision,Front Collision,Trivial Damage,Fire,SC,Arlington,2,3,YES,2,3,NO,35567.49,6369.91,7602.32,21595.26,Suburu,1998,Y
